Bairros,Municipios,Estado,Notificacoes,Casos,Obitos,Curados,Suspeitos,Descartados
RIO PLANTOJA,SANTA MARIA DE JETIBA,Espírito Santo,209,80,0,79,12,117
NOSSA SENHORA DA GLÓRIA,CACHOEIRO DE ITAPEMIRIM,Espírito Santo,209,53,0,53,3,153
BELA VISTA I,ECOPORANGA,Espírito Santo,208,55,0,51,79,74
PUTIRI,ARACRUZ,Espírito Santo,208,52,0,46,5,151
PONTAL,IBATIBA,Espírito Santo,208,94,4,90,0,114
CÓRREGO DO MAROTO,VILA PAVAO,Espírito Santo,208,55,0,55,0,153
RIBEIRAO DOS PARDOS,SANTA LEOPOLDINA,Espírito Santo,208,50,0,29,14,144
SIMPATIA,ANCHIETA,Espírito Santo,207,49,0,49,11,147
NOVA BETANHA,LINHARES,Espírito Santo,207,55,1,54,9,143
COURO DOS MONOS,RIO NOVO DO SUL,Espírito Santo,207,76,0,76,8,123
CINCO PONTÕES,LARANJA DA TERRA,Espírito Santo,207,47,0,47,0,160
SANTO ANTÔNIO,VARGEM ALTA,Espírito Santo,207,70,1,67,14,123
BRAÇO SUL,SAO DOMINGOS DO NORTE,Espírito Santo,206,98,0,64,8,100
CORREGO MONTES CLAROS,PANCAS,Espírito Santo,206,140,0,140,4,62
PERÓBA,IBATIBA,Espírito Santo,206,109,2,107,0,97
GENERAL RONDON,SAO GABRIEL DA PALHA,Espírito Santo,205,83,0,83,7,115
SÃO JOÃO DO SOBRADO,PINHEIROS,Espírito Santo,205,28,0,28,0,177
TESOURO,VILA VALERIO,Espírito Santo,205,78,1,76,7,120
